Image_ID,ToothClass,Xmin,Ymin,Xmax,Ymax
23,43,159,339,202,386
23,33,324,338,367,386
24,42,180,346,219,392
24,43,142,332,186,380
24,46,64,170,138,248
24,36,354,172,425,247
24,47,54,110,120,179
24,33,309,341,348,389
24,34,330,301,377,351
24,41,212,368,248,412
24,35,350,246,408,312
24,44,114,296,161,345
24,37,375,117,441,179
24,32,280,354,320,397
24,45,95,244,143,296
24,31,247,365,287,410
25,42,154,373,195,415
25,47,23,120,97,203
25,37,363,131,434,210
25,46,43,198,115,276
25,31,223,384,257,423
25,33,287,359,329,406
25,41,189,383,227,422
25,32,255,378,294,417
25,43,119,352,163,402
25,35,326,272,371,324
25,45,76,264,130,320
25,38,384,81,447,140
25,44,98,310,142,365
25,36,335,203,410,281
25,34,304,314,349,369
26,43,162,320,201,364
26,34,333,281,377,333
26,47,83,112,146,178
26,31,254,358,291,399
26,36,355,174,420,248
26,41,218,352,257,393
26,37,372,109,435,180
26,46,98,172,164,245
26,42,182,346,223,387
26,44,141,278,189,325
26,32,286,350,326,392
26,33,305,319,346,366
26,35,347,242,397,290
26,45,117,239,170,287
27,32,315,373,350,416
27,37,380,134,448,205
27,46,99,242,168,311
27,33,340,355,387,399
27,35,367,269,416,319
27,36,368,201,438,274
27,42,222,383,258,431
27,47,71,177,135,247
27,44,157,340,201,389
27,34,357,313,405,361
27,31,283,383,316,421
27,43,188,373,230,420
27,45,136,300,182,349
27,41,258,391,290,431
28,42,215,363,257,411
28,47,30,139,105,218
28,31,287,354,325,396
28,46,65,204,139,285
28,33,328,302,376,353
28,41,252,357,288,400
28,32,309,335,348,383
28,36,346,131,415,208
28,45,106,267,165,326
28,34,348,258,400,309
28,37,349,55,419,130
28,43,178,344,224,395
28,44,138,311,189,365
28,35,346,206,405,258
29,31,265,361,302,405
29,36,355,144,429,220
29,44,124,322,170,369
29,41,230,362,268,405
29,46,60,196,136,275
29,33,326,324,370,373
29,32,299,349,339,393
29,34,343,284,393,330
29,45,96,269,144,323
29,42,191,368,233,409
29,35,354,217,416,290
29,43,162,348,206,398
30,43,203,360,244,408
30,36,354,182,426,261
30,34,346,301,394,349
30,37,366,113,436,188
30,46,99,227,169,304
30,33,336,343,379,387
30,32,315,364,350,400
30,44,164,331,210,381
30,47,71,162,141,239
30,31,290,377,327,415
30,35,347,254,406,303
30,41,256,381,291,418
30,45,139,283,197,340
30,42,223,384,261,421
31,44,120,265,166,310
31,34,332,257,377,302
31,43,150,298,191,346
31,45,97,225,148,270
31,36,349,149,416,221
31,46,71,160,136,231
31,31,254,329,289,367
31,35,344,216,392,262
31,32,284,318,323,359
31,41,218,327,254,368
31,33,311,293,352,340
31,47,53,108,110,170
31,42,182,320,222,363
32,47,75,111,149,192
32,32,282,375,324,430
32,41,212,383,251,439
32,42,184,369,228,417
32,43,153,352,196,404
32,35,362,279,417,331
32,34,333,316,384,368
32,31,249,376,287,437
32,45,109,263,167,319
32,46,87,187,163,269
32,33,311,354,356,412
32,37,386,128,464,209
32,36,365,198,440,282
32,44,125,313,174,367
32,38,414,69,480,139
32,48,57,39,130,125
33,46,109,258,179,334
33,37,351,136,419,202
33,33,336,344,378,395
33,36,352,201,418,270
33,32,315,372,352,419
33,47,73,200,146,276
33,44,174,355,220,399
33,38,352,81,420,136
33,45,149,319,200,366
33,31,289,385,323,432
33,43,212,373,253,425
33,42,252,381,292,426
33,48,36,140,111,212
33,34,353,311,398,354
33,35,355,268,408,313
34,31,251,334,291,383
34,44,119,266,174,320
34,36,368,131,442,205
34,42,179,322,225,362
34,34,343,267,392,319
34,35,351,199,415,273
34,45,103,195,167,269
34,41,217,331,259,375
34,32,287,331,334,366
34,46,75,122,151,200
34,33,329,312,359,360
34,43,150,312,184,359
35,36,353,154,426,233
35,46,87,151,163,229
35,43,154,338,194,381
35,31,251,374,287,420
35,44,129,294,178,342
35,35,341,229,403,301
35,45,106,226,169,299
35,42,178,360,219,401
35,33,311,341,353,385
35,41,215,371,253,413
35,34,328,293,378,345
35,32,285,363,325,404
36,46,75,142,146,218
36,45,106,209,165,275
36,43,147,314,192,356
36,31,251,337,283,377
36,44,125,269,175,317
36,36,345,143,420,215
36,33,308,306,353,352
36,35,339,212,393,264
36,34,327,265,377,312
36,32,277,324,316,365
36,47,64,119,111,151
36,42,184,321,223,364
36,41,218,330,254,372
37,47,79,102,153,172
37,37,374,114,451,185
37,43,147,342,185,391
37,36,361,181,434,261
37,33,305,345,348,389
37,35,349,254,405,311
37,41,209,377,247,420
37,34,332,302,380,357
37,42,176,366,216,413
37,45,105,245,162,300
37,46,86,173,158,251
37,32,279,369,320,415
37,44,121,295,171,348
37,31,245,376,283,418
38,42,183,337,217,379
38,34,335,272,385,318
38,41,216,340,249,382
38,35,352,226,405,277
38,45,94,230,149,281
38,43,148,316,187,359
38,44,115,274,165,323
38,33,314,309,356,353
38,36,362,160,431,231
38,47,53,105,118,173
38,46,59,169,130,243
38,37,378,100,442,162
38,32,285,333,320,378
38,31,249,341,284,382
39,47,57,110,130,187
39,46,74,181,144,260
39,37,389,120,458,193
39,36,370,188,438,265
39,44,123,300,171,351
39,31,256,372,291,410
39,42,183,359,224,401
39,35,358,259,413,312
39,32,289,362,329,402
39,45,100,253,157,307
39,41,220,369,256,407
39,34,342,305,390,356
39,43,151,341,193,387
39,33,321,344,360,390
40,34,315,253,366,302
40,35,325,191,385,257
40,31,245,339,284,384
40,32,277,326,318,366
40,33,300,290,337,338
40,46,68,140,142,214
40,42,183,326,224,371
40,44,115,273,165,326
40,36,328,121,399,192
40,45,95,208,155,280
40,41,214,355,250,391
40,43,147,312,191,361
41,46,77,213,145,285
41,37,368,140,438,210
41,32,285,372,325,412
41,41,217,376,254,423
41,47,57,144,127,218
41,36,355,206,425,280
41,42,183,369,223,413
41,33,314,354,350,397
41,34,333,315,376,361
41,44,127,319,170,365
41,45,103,278,149,327
41,31,255,378,290,423
41,35,348,272,394,321
41,43,156,356,193,399
42,31,268,395,302,441
42,36,343,208,413,285
42,37,362,139,436,213
42,35,337,278,390,329
42,34,337,329,382,378
42,47,78,156,150,230
42,46,108,219,181,297
42,33,319,368,358,412
42,45,139,286,192,337
42,41,234,395,268,439
42,42,204,390,241,425
42,44,145,338,190,386
42,43,176,369,212,415
42,32,290,380,327,419
43,46,93,156,164,229
43,36,353,122,416,191
43,45,123,221,174,269
43,42,211,314,247,351
43,34,350,237,395,283
43,44,145,262,191,308
43,33,336,280,373,323
43,31,281,314,318,351
43,35,356,190,407,237
43,32,310,303,348,340
43,43,177,299,213,343
43,41,247,319,284,355
44,44,111,265,164,314
44,46,56,122,134,204
44,34,317,262,368,312
44,43,141,306,173,357
44,42,172,311,216,357
44,36,348,122,427,204
44,31,240,334,277,379
44,45,87,194,152,270
44,33,305,304,340,355
44,32,265,315,306,358
44,41,206,329,244,372
45,47,53,110,125,179
45,46,67,174,142,253
45,32,270,350,310,393
45,33,297,331,338,377
45,35,338,242,389,296
45,45,95,246,146,299
45,37,353,97,423,171
45,36,342,168,416,249
45,34,320,287,367,338
45,44,115,293,160,343
45,31,241,356,275,401
45,42,176,353,213,397
45,43,145,332,188,379
45,41,212,349,246,393
46,44,114,277,166,324
46,42,170,335,211,376
46,33,306,318,347,364
46,45,95,224,155,273
46,41,205,345,244,389
46,34,322,277,374,327
46,46,81,151,151,226
46,36,352,149,423,224
46,32,276,339,315,382
46,31,244,347,281,391
46,43,140,317,179,366
47,46,58,160,139,249
47,47,37,101,116,176
47,33,308,315,357,368
47,42,184,352,225,400
47,45,95,237,153,294
47,36,353,150,428,230
47,43,151,324,196,377
47,35,349,225,402,283
47,31,259,359,296,408
47,34,332,275,382,330
47,32,287,345,330,390
47,37,365,81,439,154
47,41,224,360,260,409
47,44,121,284,171,339
48,41,237,348,275,392
48,46,69,167,143,250
48,33,331,295,369,343
48,35,353,201,407,251
48,32,305,327,350,369
48,42,196,343,238,385
48,43,158,335,205,370
48,34,345,249,391,300
48,36,351,121,423,203
48,45,105,242,159,295
48,44,132,289,177,340
48,31,274,342,315,385
49,45,98,245,156,313
49,46,73,183,141,253
49,44,130,305,169,351
49,43,159,345,197,386
49,34,353,299,392,346
49,36,370,174,439,244
49,35,363,238,419,305
49,33,330,337,365,379
49,41,227,360,265,406
49,31,266,361,302,405
49,32,300,355,340,398
49,42,190,357,231,402
50,46,91,163,159,238
50,35,370,174,440,252
50,32,307,312,349,363
50,31,267,328,309,370
50,41,232,327,269,371
50,47,67,92,136,170
50,36,394,102,463,181
50,33,336,284,382,331
50,44,134,275,179,323
50,45,114,231,169,280
50,43,167,302,209,352
50,34,356,244,409,295
50,42,195,326,237,368
51,36,343,182,410,257
51,37,365,125,428,189
51,44,120,278,164,322
51,45,94,237,146,282
51,34,320,290,363,336
51,35,334,250,385,297
51,33,300,329,333,370
51,43,145,316,176,359
51,42,167,339,205,377
51,46,74,170,137,243
51,32,266,347,306,388
51,41,199,349,234,393
51,31,234,352,270,397
52,36,362,185,425,254
52,43,202,347,245,403
52,46,93,225,169,300
52,34,360,290,405,335
52,47,63,164,130,239
52,44,161,324,212,375
52,33,342,320,388,374
52,42,236,376,278,416
52,35,362,249,413,294
52,45,133,286,188,337
52,37,358,120,428,186
52,31,305,374,350,411
52,41,276,381,316,419
52,32,331,359,379,398
53,47,52,102,127,176
53,45,98,252,157,306
53,46,71,174,148,256
53,35,346,251,405,307
53,32,288,377,329,423
53,33,317,351,360,397
53,34,342,305,391,360
53,44,115,302,167,357
53,42,176,375,214,425
53,41,212,382,252,422
53,36,354,173,432,255
53,37,377,106,453,176
53,31,251,381,288,423
53,43,144,349,185,397
54,41,227,337,263,379
54,35,343,212,396,262
54,32,291,324,332,364
54,33,318,302,356,347
54,31,262,332,299,375
54,44,133,278,176,326
54,37,363,84,426,147
54,47,52,111,119,174
54,36,349,144,419,218
54,46,72,168,147,244
54,43,162,317,202,362
54,45,106,235,160,286
54,34,335,258,379,306
54,42,191,334,231,374
55,34,296,315,342,362
55,47,81,102,144,167
55,42,140,340,179,380
55,33,267,342,306,389
55,32,237,358,274,400
55,35,316,281,368,328
55,44,104,273,151,317
55,43,126,311,167,353
55,31,203,357,236,397
55,45,95,231,147,274
55,37,366,166,431,233
55,46,83,165,149,233
55,36,334,218,405,294
55,41,172,355,205,393
56,46,66,148,143,230
56,36,359,142,437,225
56,44,122,263,173,313
56,41,220,332,257,374
56,31,253,338,289,382
56,35,350,218,407,271
56,32,283,324,324,369
56,34,338,264,386,314
56,43,153,300,195,352
56,45,96,221,152,273
56,37,375,91,448,146
56,33,313,303,356,353
56,47,54,111,117,153
56,42,185,322,225,365
57,41,214,351,252,390
57,34,344,279,393,329
57,31,249,350,287,387
57,42,178,342,219,379
57,33,315,317,358,366
57,43,149,314,192,364
57,45,97,225,153,275
57,35,361,235,418,287
57,36,371,168,444,242
57,46,70,158,141,232
57,44,121,270,169,318
57,32,283,341,323,380
57,37,393,123,455,175
57,47,56,101,124,162
58,44,149,251,193,299
58,31,265,324,299,360
58,43,172,294,207,336
58,35,358,215,411,263
58,46,112,140,179,211
58,32,296,316,332,355
58,45,129,207,182,255
58,34,340,256,385,302
58,41,230,324,264,359
58,42,202,316,234,355
58,36,363,147,427,219
58,33,326,296,359,339
59,41,224,379,259,425
59,46,74,188,148,264
59,43,155,343,199,392
59,36,356,185,425,258
59,35,345,250,396,301
59,32,284,364,329,407
59,34,333,298,380,347
59,44,129,301,177,351
59,37,375,120,445,192
59,31,255,374,294,418
59,45,111,253,164,306
59,47,49,122,121,198
59,42,190,366,228,415
59,33,308,340,354,388
60,34,326,316,373,372
60,37,368,121,435,204
60,45,104,271,162,326
60,31,247,375,284,428
60,42,174,363,215,418
60,46,82,198,154,278
60,36,352,199,418,281
60,43,141,362,188,419
60,47,64,122,134,206
60,41,212,375,248,427
60,32,278,365,318,417
60,35,337,268,391,324
60,44,123,316,173,373
60,33,308,360,348,416
61,47,65,117,137,184
61,44,113,287,154,335
61,37,356,139,423,208
61,41,196,348,231,385
61,42,163,339,200,382
61,36,341,212,404,269
61,46,71,182,138,255
61,34,301,301,344,346
61,33,285,341,322,384
61,31,228,349,261,389
61,32,257,348,288,390
61,45,95,247,141,295
61,43,136,329,172,373
61,35,321,264,367,311
62,42,168,355,213,406
62,41,207,366,249,414
62,37,344,138,420,219
62,35,327,286,376,334
62,31,251,363,291,413
62,32,289,352,331,409
62,47,62,138,139,221
62,33,332,334,356,383
62,43,126,337,163,389
62,44,115,279,161,339
62,36,336,215,396,285
62,46,89,213,153,285
63,46,50,170,124,250
63,33,278,315,323,363
63,47,25,135,93,180
63,44,102,280,152,335
63,43,134,314,176,362
63,37,353,112,423,171
63,31,226,356,262,388
63,45,81,238,137,287
63,36,328,163,402,242
63,34,305,278,355,325
63,42,176,325,214,364
63,35,316,233,371,283
63,41,198,344,235,384
63,32,240,323,279,363
64,46,69,156,141,234
64,32,250,319,288,361
64,37,348,89,416,162
64,45,99,222,156,273
64,31,231,343,267,378
64,42,164,330,206,370
64,41,197,343,234,383
64,44,125,262,171,307
64,47,60,85,126,159
64,35,317,225,369,276
64,33,285,310,327,356
64,43,137,304,180,353
64,36,328,155,399,234
64,34,304,269,348,316
65,36,390,139,458,212
65,32,309,327,353,366
65,42,205,331,248,369
65,45,112,224,174,291
65,31,279,336,316,372
65,46,85,159,154,231
65,34,361,266,407,324
65,44,146,281,191,339
65,33,349,314,384,353
65,35,375,206,435,274
65,43,171,332,210,370
65,41,243,336,278,374
66,33,308,328,351,378
66,31,247,359,288,406
66,47,45,106,118,183
66,35,346,241,398,294
66,46,65,179,134,259
66,45,90,251,146,303
66,34,330,288,378,337
66,36,359,175,431,253
66,41,210,356,248,406
66,43,139,332,184,385
66,44,108,297,157,347
66,42,174,349,216,396
66,32,276,346,317,392
67,41,223,362,261,408
67,32,291,346,329,398
67,47,49,104,124,181
67,34,340,278,395,333
67,42,188,349,229,401
67,37,377,89,451,165
67,45,106,235,165,291
67,35,343,225,405,280
67,43,146,333,194,387
67,44,118,288,174,342
67,31,261,363,296,412
67,36,359,159,432,233
67,33,321,326,370,377
67,46,75,171,146,246
68,37,382,104,455,181
68,36,360,177,440,262
68,43,147,329,191,378
68,46,67,161,146,245
68,44,116,289,170,342
68,35,347,253,409,311
68,47,58,125,126,164
68,42,169,359,210,408
68,32,277,363,317,412
68,34,331,302,381,355
68,41,205,364,245,416
68,31,241,371,279,423
68,33,306,340,347,392
68,45,92,239,157,295
69,36,355,145,426,221
69,47,71,85,134,148
69,37,374,84,442,150
69,35,349,213,402,265
69,44,125,258,174,308
69,31,252,327,289,367
69,46,83,143,153,221
69,33,315,303,353,347
69,32,284,319,323,359
69,42,184,319,223,361
69,45,106,214,160,263
69,34,334,261,381,308
69,43,155,299,198,345
69,41,218,330,254,370
70,31,251,333,285,384
70,35,349,202,402,257
70,36,356,130,427,205
70,43,143,298,186,345
70,46,67,135,144,212
70,45,95,205,152,263
70,32,280,319,326,369
70,34,334,253,381,306
70,42,176,322,216,371
70,47,65,99,103,141
70,33,308,295,353,343
70,44,113,255,168,307
70,41,215,333,250,383
70,37,377,97,440,136
71,43,124,336,166,375
71,41,194,356,230,399
71,46,67,168,140,245
71,33,289,328,333,374
71,34,310,287,359,337
71,42,161,346,198,389
71,31,228,356,264,397
71,35,315,236,377,289
71,45,86,242,148,293
71,37,350,103,414,169
71,32,259,349,297,387
71,44,104,291,154,341
71,36,325,163,398,243
71,47,47,104,111,174
72,45,111,206,167,276
72,36,352,173,425,246
72,44,119,275,167,325
72,34,319,302,368,353
72,46,99,138,168,208
72,32,273,350,312,404
72,43,142,316,174,369
72,31,235,356,275,408
72,35,332,237,393,308
72,42,162,336,209,381
72,41,194,356,235,408
72,33,303,344,339,393
73,47,58,111,130,190
73,37,385,108,460,182
73,33,318,329,363,383
73,45,104,252,163,310
73,32,290,346,334,400
73,44,128,302,178,355
73,35,356,240,408,297
73,36,368,175,440,252
73,34,342,289,388,341
73,46,77,184,146,261
73,41,225,354,261,411
73,31,257,351,294,408
73,42,190,348,232,405
73,43,155,335,201,395
74,46,81,167,153,244
74,33,311,309,352,359
74,47,64,104,132,175
74,37,375,115,443,187
74,34,331,278,376,324
74,36,361,179,426,251
74,45,109,229,162,279
74,32,281,323,321,371
74,35,346,240,399,288
74,31,250,325,284,368
74,44,122,272,171,318
74,41,216,322,250,370
74,43,147,306,187,352
74,42,179,319,217,365
75,36,357,167,435,246
75,31,246,344,279,383
75,41,214,343,248,380
75,34,333,284,377,335
75,43,152,314,192,358
75,42,182,335,218,375
75,33,307,320,349,366
75,45,103,221,167,281
75,32,276,337,313,379
75,46,72,150,147,229
75,35,336,233,398,290
75,44,122,277,168,326
75,37,391,125,456,178
75,47,56,117,112,160
76,34,321,274,366,324
76,37,385,99,455,171
76,35,340,229,396,282
76,42,157,322,193,368
76,43,128,294,171,341
76,32,261,331,300,377
76,36,357,160,432,238
76,46,60,138,132,211
76,41,187,330,227,370
76,45,86,207,141,258
76,31,223,336,261,377
76,44,104,255,150,304
76,33,295,310,333,357
77,47,78,233,166,317
77,46,142,279,224,361
77,43,291,384,339,436
77,34,361,214,421,271
77,35,333,142,410,226
77,41,359,361,416,413
77,44,245,367,295,417
77,33,393,255,443,309
77,42,329,376,381,429
77,45,204,328,260,388
77,32,398,306,445,359
77,31,376,334,429,380
78,31,235,348,271,401
78,33,303,334,345,388
78,46,77,124,144,200
78,32,267,343,307,392
78,41,206,347,243,401
78,42,179,326,218,378
78,34,333,308,378,358
78,35,360,270,410,326
78,43,150,304,195,352
78,44,130,266,175,314
79,46,79,166,146,240
79,36,331,181,400,257
79,45,91,237,146,283
79,43,136,314,176,359
79,32,258,347,296,391
79,41,190,349,226,396
79,44,111,275,160,324
79,37,357,132,420,193
79,34,309,290,357,338
79,42,158,339,198,384
79,31,226,355,261,400
79,35,324,250,382,300
79,47,69,113,129,171
79,33,287,326,329,373
80,44,107,292,154,341
80,35,357,251,411,304
80,36,372,183,448,263
80,42,168,359,210,398
80,33,316,341,356,385
80,45,88,246,145,296
80,32,279,360,322,399
80,47,34,112,104,186
80,31,246,374,285,409
80,37,398,113,471,191
80,46,55,177,130,256
80,41,207,371,245,409
80,43,134,337,174,379
80,34,343,294,389,348
81,32,298,362,341,408
81,31,270,375,307,422
81,43,165,347,211,397
81,34,343,290,392,339
81,35,352,240,406,292
81,41,237,381,273,428
81,37,373,104,446,178
81,33,320,333,366,382
81,36,359,172,430,246
81,46,76,199,149,275
81,47,43,142,116,212
81,44,139,308,185,359
81,42,201,369,241,421
81,45,118,262,168,314
82,34,351,232,398,283
82,35,362,192,417,240
82,36,364,128,432,196
82,42,185,303,220,342
82,46,81,134,155,209
82,43,153,277,191,323
82,37,379,71,440,134
82,31,261,310,294,349
82,44,122,241,169,288
82,33,323,270,364,311
82,41,223,312,255,349
82,45,103,201,156,248
82,32,298,299,333,339
83,33,289,330,331,375
83,46,63,172,128,242
83,41,196,347,232,394
83,34,309,290,358,338
83,32,264,343,305,392
83,36,348,174,412,243
83,43,137,329,175,375
83,42,161,336,204,381
83,31,230,347,266,393
83,37,366,115,428,176
83,45,92,234,148,298
83,35,322,233,380,297
83,44,116,289,165,338
83,47,49,126,117,175
84,33,287,293,331,337
84,35,344,207,400,264
84,43,109,237,161,289
84,36,373,145,445,227
84,41,179,300,224,344
84,31,222,306,262,350
84,32,260,310,301,352
84,44,95,186,149,244
84,34,315,258,370,316
84,45,87,147,129,192
84,42,140,279,189,333
85,36,369,195,440,274
85,33,323,354,373,404
85,32,299,377,343,428
85,46,92,199,165,277
85,35,361,263,413,319
85,45,120,268,178,321
85,47,70,138,144,207
85,34,352,315,402,367
85,37,394,128,467,205
85,41,238,386,276,436
85,43,159,358,208,410
85,31,273,388,312,436
85,42,201,378,241,428
85,44,135,318,187,371
86,37,400,97,474,179
86,46,53,177,128,256
86,35,368,245,423,297
86,33,326,341,370,391
86,34,354,292,402,343
86,36,380,175,454,254
86,43,135,340,181,391
86,42,174,367,216,411
86,31,255,371,295,416
86,47,34,102,99,180
86,45,85,245,141,298
86,41,214,373,254,415
86,32,293,366,336,411
86,44,105,295,155,346
